,date,dateTime,open,high,low,close,volume
16645,2023-03-13 22:00:00,1678741200000,24150.7,24233,24150.7,24210.9,6805.274
16646,2023-03-13 22:15:00,1678742100000,24210.9,24220.1,24068,24082.6,6308.465
16647,2023-03-13 22:30:00,1678743000000,24082.6,24290.4,24059,24115.6,5862.74
16648,2023-03-13 22:45:00,1678743900000,24115.6,24173.6,24080.2,24097.5,6401.959
16649,2023-03-13 23:00:00,1678744800000,24097.5,24228,24096.1,24215.7,6572.841
16650,2023-03-13 23:15:00,1678745700000,24215.7,28000,23027.2,24211.2,12735.75
16651,2023-03-13 23:30:00,1678746600000,24211.2,24229.4,24170.4,24198,6623.433
16652,2023-03-13 23:45:00,1678747500000,24198,24219.6,24111.3,24212.7,7311.684
16653,2023-03-14 00:00:00,1678748400000,24212.7,24221.7,24142.9,24168.4,7295.994
16654,2023-03-14 00:15:00,1678749300000,24168.4,24175.7,23950,24045.1,7775.756
16655,2023-03-14 00:30:00,1678750200000,24045.1,24066.6,23964,24059.6,8106.079
16656,2023-03-14 00:45:00,1678751100000,24059.6,24112.1,24022.1,24108,8302.39
16657,2023-03-14 01:00:00,1678752000000,24108,24148.1,23989.5,24000.5,8939.622
16658,2023-03-14 01:15:00,1678752900000,24000.5,24163.7,23686,24115.1,13470.505
16659,2023-03-14 01:30:00,1678753800000,24115.1,24161.5,24083.9,24110.1,9259.993
16660,2023-03-14 01:45:00,1678754700000,24110.1,24235,24098,24164.2,8363.95
16661,2023-03-14 02:00:00,1678755600000,24164.2,24198,24110,24145.2,9088.873
16662,2023-03-14 02:15:00,1678756500000,24145.2,24277.8,24137.3,24277.8,9124.592
16663,2023-03-14 02:30:00,1678757400000,24277.8,24292.7,24186.8,24207.9,9121.988
16664,2023-03-14 02:45:00,1678758300000,24207.9,24433.9,24200.6,24396.1,8440.01
16665,2023-03-14 03:00:00,1678759200000,24396.1,24467.1,24311.2,24313,8355.186
16666,2023-03-14 03:15:00,1678760100000,24313,24359.3,24262.2,24280,8623.913
16667,2023-03-14 03:30:00,1678761000000,24280,24301,24242.9,24255.9,9163.702
16668,2023-03-14 03:45:00,1678761900000,24255.9,24577,20379,21683.3,12433.772
16669,2023-03-14 04:00:00,1678762800000,21683.3,25600,21682,24249,11865.207
16670,2023-03-14 04:15:00,1678763700000,24249,24500,23059.2,24323.9,7890.463
16671,2023-03-14 04:30:00,1678764600000,24323.9,24393.7,23600,24367.2,7629.158
16672,2023-03-14 04:45:00,1678765500000,24367.2,24384.6,24320,24357.8,7743.792
16673,2023-03-14 05:00:00,1678766400000,24357.8,24369.3,24311.6,24361.4,10310.435
16674,2023-03-14 05:15:00,1678767300000,24361.4,24424.5,24337.5,24410.1,7072.146
16675,2023-03-14 05:30:00,1678768200000,24410.1,24420,24314.5,24316.4,8417.03
16676,2023-03-14 05:45:00,1678769100000,24316.4,27900,20000,23319.9,16278.484
16677,2023-03-14 06:00:00,1678770000000,23319.9,24828,23319.9,24750,647.191
16678,2023-03-14 06:15:00,1678770900000,24750,24750,24265.1,24357.3,5654.598
16679,2023-03-14 06:30:00,1678771800000,24357.3,24418.7,24266.5,24295.8,8552.954
16680,2023-03-14 06:45:00,1678772700000,24295.8,24350,24242.7,24325.2,9466.743
16681,2023-03-14 07:00:00,1678773600000,24325.2,24433.5,24313.5,24342.7,8350.785
16682,2023-03-14 07:15:00,1678774500000,24342.7,24417.1,24325.6,24385.4,8965.119
16683,2023-03-14 07:30:00,1678775400000,24385.4,24399.6,24281,24281,9015.695
16684,2023-03-14 07:45:00,1678776300000,24281,24343.3,24280.7,24327.3,8482.925
16685,2023-03-14 08:00:00,1678777200000,24327.3,24402.9,24324,24393.9,8390.961
16686,2023-03-14 08:15:00,1678778100000,24393.9,24397,24250,24250,7398.712
16687,2023-03-14 08:30:00,1678779000000,24250,24284,24192.4,24235,8751.435
16688,2023-03-14 08:45:00,1678779900000,24235,24302.5,24157.8,24253.1,8680.046
16689,2023-03-14 09:00:00,1678780800000,24253.1,25403.2,22986.6,24178,12978.746
16690,2023-03-14 09:15:00,1678781700000,24178,24279.2,24165.1,24272,8954.444
16691,2023-03-14 09:30:00,1678782600000,24272,24300,24238.4,24240.7,8927.187
16692,2023-03-14 09:45:00,1678783500000,24240.7,24277.8,24227.5,24245.2,7368.099
16693,2023-03-14 10:00:00,1678784400000,24245.2,24263.8,24201.8,24249.7,7736.925
16694,2023-03-14 10:15:00,1678785300000,24249.7,24257.2,24190.7,24190.9,9059.147
16695,2023-03-14 10:30:00,1678786200000,24190.9,24264.3,24161.7,24233.2,8632.711
16696,2023-03-14 10:45:00,1678787100000,24233.2,24286.1,24233,24282.9,6570.656
16697,2023-03-14 11:00:00,1678788000000,24282.9,24300.5,24254.9,24261.9,6050.807
16698,2023-03-14 11:15:00,1678788900000,24261.9,24395.2,24252.4,24359.6,6970.03
16699,2023-03-14 11:30:00,1678789800000,24359.6,24416,24347,24392.7,8769.681
16700,2023-03-14 11:45:00,1678790700000,24392.7,24607,24373.4,24564.5,7645.273
16701,2023-03-14 12:00:00,1678791600000,24564.5,24677.8,24484.3,24677,8608.046
16702,2023-03-14 12:15:00,1678792500000,24677,24816.2,24605.4,24624.1,7384.286
16703,2023-03-14 12:30:00,1678793400000,24624.1,24743.9,24571.4,24729.1,8263.19
16704,2023-03-14 12:45:00,1678794300000,24729.1,25214.3,22379.5,24746.6,12711.024
16705,2023-03-14 13:00:00,1678795200000,24746.6,24878.9,24680,24711.5,8082.742
16706,2023-03-14 13:15:00,1678796100000,24711.5,24760,24646,24697.1,9211.003
16707,2023-03-14 13:30:00,1678797000000,24697.1,26900,24600,25500,5714.32
16708,2023-03-14 13:45:00,1678797900000,25500,26000,25314.4,25840.1,5635.996
16709,2023-03-14 14:00:00,1678798800000,25840.1,26900,25729.6,26293.8,7453.604
16710,2023-03-14 14:15:00,1678799700000,26293.8,26873.6,25757.5,25909.2,5417.394
16711,2023-03-14 14:30:00,1678800600000,25909.2,26101.7,25850,25945.7,6378.035
16712,2023-03-14 14:45:00,1678801500000,25945.7,26100,24600,25550,7058.956
16713,2023-03-14 15:00:00,1678802400000,25550,25868.2,25330.4,25853.9,6661.516
16714,2023-03-14 15:15:00,1678803300000,25853.9,25988.7,25781.6,25988.7,7774.512
16715,2023-03-14 15:30:00,1678804200000,25988.7,26000,25835.9,25868.3,8922.879
16716,2023-03-14 15:45:00,1678805100000,25868.3,26100,24600,25872.3,5632.578
16717,2023-03-14 16:00:00,1678806000000,25872.3,25919.7,25790.5,25877.4,8534.151
16718,2023-03-14 16:15:00,1678806900000,25877.4,25969.5,25800,25811.1,8183.524
16719,2023-03-14 16:30:00,1678807800000,25811.1,25919.2,25802.5,25873.6,8779.034
16720,2023-03-14 16:45:00,1678808700000,25873.6,25950,25850,25916.4,8512.856
16721,2023-03-14 17:00:00,1678809600000,25916.4,26004.6,25868.8,25999.4,8788.537
16722,2023-03-14 17:15:00,1678810500000,25999.4,26000,25723.9,25761.1,7077.732
16723,2023-03-14 17:30:00,1678811400000,25761.1,25850,25756,25815,8760.799
16724,2023-03-14 17:45:00,1678812300000,25815,25909.3,25811.4,25875.3,7650.288
16725,2023-03-14 18:00:00,1678813200000,25875.3,26343.7,24930,25855.4,8803.715
16726,2023-03-14 18:15:00,1678814100000,25855.4,28263.2,23090.7,25755.9,13789.504
16727,2023-03-14 18:30:00,1678815000000,25755.9,25800.1,25680.3,25732.5,7323.726
16728,2023-03-14 18:45:00,1678815900000,25732.5,25754.3,25622.6,25635.9,8944.318
16729,2023-03-14 19:00:00,1678816800000,25635.9,25653.2,24087.7,25335.8,7580.706
16730,2023-03-14 19:15:00,1678817700000,25335.8,25558.5,25326.7,25543.6,8057.72
16731,2023-03-14 19:30:00,1678818600000,25543.6,26790,24440,25434.7,7659.705
16732,2023-03-14 19:45:00,1678819500000,25434.7,25450,24867.1,24992.5,6967.02
16733,2023-03-14 20:00:00,1678820400000,24992.5,25133.7,24440,24616.5,8184.438
16734,2023-03-14 20:15:00,1678821300000,24616.5,25215,24333,24466.6,4203.379
16735,2023-03-14 20:30:00,1678822200000,24466.6,24660,24435.4,24558.2,6611.013
16736,2023-03-14 20:45:00,1678823100000,24558.2,25097.1,24476.1,25063.8,6571.716
16737,2023-03-14 21:00:00,1678824000000,25063.8,25479.6,24580,24910.4,6920.163
16738,2023-03-14 21:15:00,1678824900000,24910.4,25056.7,24333,24890.9,13475.926
16739,2023-03-14 21:30:00,1678825800000,24890.9,24941.7,24333,24670,8023.611
16740,2023-03-14 21:45:00,1678826700000,24670,24777,24560,24561,7400.326
16741,2023-03-14 22:00:00,1678827600000,24561,24630.2,23920,24312,4957.662
16742,2023-03-14 22:15:00,1678828500000,24312,24414,23852.9,24380.3,4727.344
16743,2023-03-14 22:30:00,1678829400000,24380.3,24552.6,24328.5,24478.6,7098.131
16744,2023-03-14 22:45:00,1678830300000,24478.6,24580,24401,24534.3,6810.389
16745,2023-03-14 23:00:00,1678831200000,24534.3,24775.4,24408.1,24775.4,6846.909
16746,2023-03-14 23:15:00,1678832100000,24775.4,24777.9,24476.8,24589.3,8481.797
16747,2023-03-14 23:30:00,1678833000000,24589.3,24656.2,24516.1,24634.6,8751.446
16748,2023-03-14 23:45:00,1678833900000,24634.6,24722.8,24588.6,24708.8,8248.374
16749,2023-03-15 00:00:00,1678834800000,24708.8,24915,24632.9,24691.4,9386.727
16750,2023-03-15 00:15:00,1678835700000,24691.4,24751.5,24623.7,24661.1,7742.01
16751,2023-03-15 00:30:00,1678836600000,24661.1,24761.9,24616.8,24744.2,7868.446
16752,2023-03-15 00:45:00,1678837500000,24744.2,24966.7,24656.1,24667.7,8232.709
16753,2023-03-15 01:00:00,1678838400000,24667.7,24720.3,24579.1,24579.1,8423.28
16754,2023-03-15 01:15:00,1678839300000,24579.1,24649.7,24395,24399.5,6557.222
16755,2023-03-15 01:30:00,1678840200000,24399.5,24513,24358.9,24508.7,8368.361
16756,2023-03-15 01:45:00,1678841100000,24508.7,24741.3,24508.3,24741.3,6985.133
16757,2023-03-15 02:00:00,1678842000000,24741.3,24926.9,24670,24889.6,7546.268
16758,2023-03-15 02:15:00,1678842900000,24889.6,25046.7,24855,24933,8294.283
16759,2023-03-15 02:30:00,1678843800000,24933,24951.4,24835.5,24886.9,8805.863
16760,2023-03-15 02:45:00,1678844700000,24886.9,24944.4,24816.1,24910.3,9002.105
16761,2023-03-15 03:00:00,1678845600000,24910.3,24976,24860.1,24860.1,8299.921
16762,2023-03-15 03:15:00,1678846500000,24860.1,24906.2,24819.5,24856.5,7350.416
16763,2023-03-15 03:30:00,1678847400000,24856.5,24877.3,24827.3,24852.6,7003.364
16764,2023-03-15 03:45:00,1678848300000,24852.6,24905.8,24835.8,24835.8,7831.265
16765,2023-03-15 04:00:00,1678849200000,24835.8,24862.2,24827,24833.2,8503.121
16766,2023-03-15 04:15:00,1678850100000,24833.2,24887,24681,24685.1,9999.367
16767,2023-03-15 04:30:00,1678851000000,24685.1,24860,24500,24747.4,10709.229
16768,2023-03-15 04:45:00,1678851900000,24747.4,24771.6,24704,24731,8109.893
16769,2023-03-15 05:00:00,1678852800000,24731,24887,23880,24690.2,11175.323
16770,2023-03-15 05:15:00,1678853700000,24690.2,24765.7,24688.2,24759.4,7564.754
16771,2023-03-15 05:30:00,1678854600000,24759.4,24821,24727.5,24775,7006.083
16772,2023-03-15 05:45:00,1678855500000,24775,24820,24775,24810.2,6483.952
16773,2023-03-15 06:00:00,1678856400000,24810.2,24877.1,24810,24853,6859.087
16774,2023-03-15 06:15:00,1678857300000,24853,24871.1,24816,24849.3,6355.252
16775,2023-03-15 06:30:00,1678858200000,24849.3,24850,24729.9,24760.9,7369.38
16776,2023-03-15 06:45:00,1678859100000,24760.9,24782.4,24692.8,24714.8,7137.551
16777,2023-03-15 07:00:00,1678860000000,24714.8,24744.6,24635.7,24703.5,9048.788
16778,2023-03-15 07:15:00,1678860900000,24703.5,24770,24651.5,24769.7,8079.255
16779,2023-03-15 07:30:00,1678861800000,24769.7,24860.2,24712.5,24837.1,8702.432
16780,2023-03-15 07:45:00,1678862700000,24837.1,24857.1,24774.4,24789.4,7229.489
16781,2023-03-15 08:00:00,1678863600000,24789.4,24820,24765.3,24765.6,7232.746
16782,2023-03-15 08:15:00,1678864500000,24765.6,24792.3,24730.3,24782,7148.351
16783,2023-03-15 08:30:00,1678865400000,24782,24843.2,24755.4,24830.9,7186.428
16784,2023-03-15 08:45:00,1678866300000,24830.9,24887,24805.3,24887,8715.321
16785,2023-03-15 09:00:00,1678867200000,24887,24887,24844.5,24886.5,10549.159
16786,2023-03-15 09:15:00,1678868100000,24886.5,24887,24800.1,24808,10920.867
16787,2023-03-15 09:30:00,1678869000000,24808,24810,24759.8,24791,7990.714
16788,2023-03-15 09:45:00,1678869900000,24791,24801.7,24750,24758.2,8186.11
16789,2023-03-15 10:00:00,1678870800000,24758.2,24784.4,24706.9,24740.3,6673.205
16790,2023-03-15 10:15:00,1678871700000,24740.3,24775,24691.4,24696.4,7304.367
16791,2023-03-15 10:30:00,1678872600000,24696.4,24740,24528.8,24576.6,8248.275
16792,2023-03-15 10:45:00,1678873500000,24576.6,24643.9,24500.3,24532,8604.17
16793,2023-03-15 11:00:00,1678874400000,24532,24630.6,24510,24559.9,8643.637
16794,2023-03-15 11:15:00,1678875300000,24559.9,24887,24427.7,24455.7,10193.709
16795,2023-03-15 11:30:00,1678876200000,24455.7,24620.2,24000,24620.2,5550.791
16796,2023-03-15 11:45:00,1678877100000,24620.2,24640,23900,24548.8,8821.263
